9,1,1,1.8,2
9,2,1,1.8,2
9,3,1,1.8,2
9,4,1,1.8,2
9,5,1,1.8,2
9,6,1,1.8,2
9,7,1,1.8,2
9,8,1,1.8,2
9,1,0,1.8,14
9,2,0,1.8,14
9,3,0,1.8,14
13,1,1,1.8,3
13,2,1,1.8,3
13,3,1,1.8,3
13,4,1,1.8,3
13,5,1,1.8,3
13,1,0,1.8,5
13,2,0,1.8,5
13,3,0,1.8,5
13,4,0,1.8,5
13,5,0,1.8,5
18,1,1,1.8,4
18,2,1,1.8,4
18,3,1,1.8,4
18,4,1,1.8,4
18,5,1,1.8,4
18,1,0,1.8,4
18,2,0,1.8,4
18,3,0,1.8,4
18,4,0,1.8,4
18,5,0,1.8,4
18,6,0,1.8,4
6,1,1,1.8,4
6,2,1,1.8,4
6,3,1,1.8,4
6,4,1,1.8,4
6,5,1,1.8,4
6,6,1,1.8,4
6,7,1,1.8,4
6,1,0,1.8,18
6,2,0,1.8,18
6,3,0,1.8,18
6,4,0,1.8,18
6,5,0,1.8,18
6,6,0,1.8,18
6,7,0,1.8,18
5,1,1,1.8,6
5,2,1,1.8,6
5,3,1,1.8,6
5,4,1,1.8,6
5,5,1,1.8,6
5,6,1,1.8,6
5,7,1,1.8,6
5,8,1,1.8,6
5,9,1,1.8,6
5,1,0,1.8,6
5,2,0,1.8,6
5,3,0,1.8,6
5,4,0,1.8,6
5,5,0,1.8,6
2,1,1,1.8,9
2,2,1,1.8,9
2,4,1,1.8,9
2,6,1,1.8,9
2,8,1,1.8,9
2,10,1,1.8,9
2,1,0,1.8,9
2,3,0,1.8,9
2,1,0,1.8,9
13,1,1,1.8,10
13,2,1,1.8,10
13,3,1,1.8,10
13,4,1,1.8,10
13,5,1,1.8,10
13,6,1,1.8,10
13,7,1,1.8,10
13,8,1,1.8,10
13,10,1,1.8,10
13,1,0,1.8,14
13,2,0,1.8,14
13,3,0,1.8,14
13,17,0,1.8,14
14,1,1,1.8,10
14,2,1,1.8,10
14,4,1,1.8,10
14,7,1,1.8,10
14,8,1,1.8,10
14,11,1,1.8,10
14,20,1,1.8,10
14,1,0,1.8,5
14,4,0,1.8,5
14,12,0,1.8,5
14,14,0,1.8,5
17,1,1,1.8,13
17,2,1,1.8,13
17,5,1,1.8,13
17,9,1,1.8,13
17,14,1,1.8,13
17,32,1,1.8,13
17,1,0,1.8,10
17,2,0,1.8,10
17,4,0,1.8,10
17,7,0,1.8,10
17,11,0,1.8,10
18,1,1,1.8,6
18,2,1,1.8,6
18,17,1,1.8,6
18,22,1,1.8,6
18,9,1,1.8,6
18,4,1,1.8,6
18,1,0,1.8,10
18,2,0,1.8,10
18,7,0,1.8,10
18,44,0,1.8,10
18,13,0,1.8,10
3,1,1,1.8,14
3,3,1,1.8,14
3,5,1,1.8,14
3,7,1,1.8,14
3,11,1,1.8,14
3,13,1,1.8,14
3,1,0,1.8,17
3,3,0,1.8,17
3,5,0,1.8,17
3,7,0,1.8,17
3,11,0,1.8,17
3,13,0,1.8,17
3,14,0,1.8,17



